[364 317],[367 315],[369 317],[366 319]
[336 301],[340 301],[340 305],[336 305]
[ 27 288],[ 43 285],[ 47 302],[ 31 306]
[ 47 271],[ 53 271],[ 53 280],[ 47 280]
[378 282],[478 261],[480 270],[380 291]
[220 261],[220 261],[220 261],[220 261]
[ 99 264],[128 255],[140 295],[111 304]
[200 247],[204 247],[204 253],[200 253]
[448 246],[457 245],[460 261],[451 262]
[381 239],[382 238],[384 240],[383 241]
[218 234],[220 232],[225 237],[223 239]
[394 233],[400 230],[403 235],[397 238]
[130 229],[139 225],[146 239],[137 243]
[341 219],[344 219],[344 222],[341 222]
[460 217],[473 214],[480 253],[467 255]
[441 215],[447 215],[447 223],[441 223]
[328 202],[328 200],[330 200],[330 202]
[267 196],[271 196],[271 203],[267 203]
[294 196],[294 189],[298 189],[298 196]
[288 185],[291 181],[295 185],[291 188]
[390 175],[393 172],[396 175],[393 178]
[ 83 172],[106 172],[106 191],[ 83 191]
[226 177],[241 169],[259 204],[243 212]
[349 168],[349 161],[353 161],[353 168]
[213 161],[220 161],[220 177],[213 177]
[158 157],[158 157],[158 156],[158 156]
[337 152],[342 152],[342 157],[337 157]
[326 143],[333 143],[333 150],[326 150]
[358 134],[362 134],[362 139],[358 139]
[198 134],[209 134],[209 153],[198 153]
[309 130],[311 128],[311 128],[309 130]
[ 24 115],[ 36 115],[ 36 138],[ 24 138]
[ 13 112],[ 21 112],[ 21 123],[ 13 123]
[ 86 108],[ 91 106],[ 96 115],[ 91 117]
[250 100],[252 100],[252 102],[250 102]
[426  92],[432  92],[432 100],[426 100]
[444 112],[452  88],[466  93],[458 116]
[469  88],[472  85],[475  88],[472  91]
[418  86],[422  83],[425  86],[422  90]
[122  81],[128  70],[145  80],[139  91]
[257  97],[272  66],[285  73],[269 103]
[ 0 61],[11 61],[ 11 103],[  0 103]
[70 60],[73 56],[77 60],[73 63]
[394  56],[394  56],[394  56],[394  56]
[438  50],[441  50],[441  54],[438  54]
[389  48],[389  48],[389  48],[389  48]
[280  43],[295  43],[295  68],[280  68]
[142  42],[148  42],[148  52],[142  52]
[360  51],[360  36],[368  36],[368  51]
[167  28],[167  28],[167  28],[167  28]
[281  29],[288  23],[294  29],[287  35]
[426  21],[434  21],[434  32],[426  32]
[220  20],[226  17],[229  23],[223  26]
[123  20],[123  18],[125  18],[125  20]
[361   8],[363   7],[364   9],[362  10]
[434   7],[436   7],[436  10],[434  10]
[397   0],[408   0],[408   5],[397   5]
[375   6],[382   0],[388   6],[381  12]
[257   0],[278   0],[278   7],[257   7]
[58  0],[59  0],[59  1],[58  1]
[30  0],[33  0],[33  1],[30  1]
[5 0],[14  0],[14 18],[ 5 18]
